market,Corp Code,Category,Corp Name,URL,,
 東証一部 ,2131,サービス ,アコーディア・ゴルフ,http://www.accordiagolf.co.jp/,,
 東証二部 ,2132,サービス ,アイレップ,http://www.irep.co.jp/,,
 JASDAQスタンダード ,2134,サービス ,燦キャピタルマネージメント,http://www.sun-capitalmanagement.co.jp/,,
 JASDAQスタンダード ,2136,サービス ,ヒップ,http://www.hip-pro.co.jp/,,
 アンビシャス ,2137,サービス ,光ハイツ・ヴェラス,http://www.varus.co.jp/,,
 JASDAQスタンダード ,2138,情報・通信 ,クルーズ,http://crooz.co.jp/,,
" 東証二部,名証二部 ",2139,サービス ,中広,http://chuco.co.jp/,,
 JASDAQグロース ,2144,サービス ,やまねメディカル,http://www.ymmd.co.jp/,,
 JASDAQスタンダード ,2145,サービス ,データリンクス,http://www.datalinks.co.jp/,,
 JASDAQスタンダード ,2146,サービス ,ＵＴホールディングス,http://www.ut-h.co.jp/,,
 東証マザーズ ,2148,サービス ,アイティメディア,http://corp.itmedia.co.jp/,,
 東証マザーズ ,2150,サービス ,ケアネット,http://www.carenet.com/,,
 東証一部 ,2151,サービス ,タケエイ,http://www.takeei.co.jp/,,
 JASDAQスタンダード ,2152,サービス ,幼児活動研究会,http://www.youji.co.jp/,,
 東証二部 ,2153,サービス ,Ｅ・Ｊホールディングス,http://www.ej-hds.co.jp/,,
 東証一部 ,2154,サービス ,トラスト・テック,http://www.trust-tech.jp/,,
 JASDAQスタンダード ,2156,サービス ,セーラー広告,http://www.saylor.co.jp/,,
 JASDAQスタンダード ,2157,サービス ,コシダカホールディングス,http://www.koshidaka.co.jp/,,
 東証マザーズ ,2158,サービス ,ＵＢＩＣ,http://www.ubic.co.jp/,,
 東証マザーズ ,2159,サービス ,フルスピード,http://www.fullspeed.co.jp/,,
 東証マザーズ ,2160,医薬品 ,ジーエヌアイグループ,http://www.gnipharma.com/,,
 JASDAQスタンダード ,2162,サービス ,日本マニュファクチャリングサービス,http://www.n-ms.co.jp/,,
 JASDAQスタンダード ,2163,サービス ,アルトナー,http://www.artner.co.jp/,,
 JASDAQグロース ,2164,サービス ,地域新聞社,http://chiikinews.co.jp/,,
 東証一部 ,2168,サービス ,パソナグループ,http://www.pasonagroup.co.jp/,,
" 東証一部,名証一部 ",2169,サービス ,ＣＤＳ,http://www.cds-japan.jp/,,
 東証一部 ,2170,サービス ,リンクアンドモチベーション,http://www.lmi.ne.jp/,,
 アンビシャス ,2172,サービス ,インサイト,http://www.ppi.jp/,,
 JASDAQグロース ,2173,サービス ,博展,http://www.hakuten.co.jp/,,
 東証一部 ,2174,サービス ,ＧＣＡサヴィアン,http://www.gcasavvian.co.jp/,,
 東証一部 ,2175,サービス ,エス・エム・エス,http://www.bm-sms.co.jp/,,
 JASDAQスタンダード ,2176,サービス ,イナリサーチ,http://www.ina-research.co.jp/,,
 東証マザーズ ,2178,サービス ,トライステージ,http://www.tri-stage.jp/,,
 JASDAQスタンダード ,2179,サービス ,成学社,http://www.kaisei-group.co.jp/,,
 JASDAQグロース ,2180,サービス ,サニーサイドアップ,http://www.ssu.co.jp/,,
 東証一部 ,2181,サービス ,テンプホールディングス,http://www.temp-holdings.co.jp/,,
 東証一部 ,2183,サービス ,リニカル,http://www.linical.co.jp/,,
 JASDAQスタンダード ,2185,サービス ,シイエム・シイ,http://www.cmc.co.jp/,,
 JASDAQスタンダード ,2186,サービス ,ソーバル,http://www.sobal.co.jp/,,
 JASDAQスタンダード ,2191,サービス ,テラ,http://www.tella.jp/,,
 東証一部 ,2193,サービス ,クックパッド,http://info.cookpad.com/,,
 JASDAQグロース ,2195,サービス ,アミタホールディングス,http://www.amita-hd.co.jp/,,
 東証マザーズ ,2196,サービス ,エスクリ,http://www.escrit.jp/,,
 東証一部 ,2198,サービス ,アイ・ケイ・ケイ,http://www.ikk-grp.jp/,,
 東証一部 ,2201,食品 ,森永製菓,http://www.morinaga.co.jp/company/,,
 東証一部 ,2204,食品 ,中村屋,http://www.nakamuraya.co.jp/,,
 東証一部 ,2206,食品 ,江崎グリコ,https://www.glico.com/jp/,,
" 東証一部,名証一部 ",2207,食品 ,名糖産業,http://www.meito-sangyo.co.jp/,,
 東証二部 ,2208,食品 ,ブルボン,http://www.bourbon.co.jp/,,
" 東証二部,名証二部 ",2209,食品 ,井村屋グループ,http://www.imuraya.co.jp/,,
 東証一部 ,2211,食品 ,不二家,http://www.fujiya-peko.co.jp/,,
 東証一部 ,2212,食品 ,山崎製パン,http://www.yamazakipan.co.jp/,,
 東証一部 ,2215,食品 ,第一屋製パン,http://www.daiichipan.co.jp/,,
 東証二部 ,2216,食品 ,カンロ,http://www.kanro.co.jp/,,
 東証一部 ,2217,食品 ,モロゾフ,http://www.morozoff.co.jp/,,
 札証 ,2218,食品 ,日糧製パン,http://www.nichiryo-pan.co.jp/,,
 東証一部 ,2220,食品 ,亀田製菓,http://www.kamedaseika.co.jp/,,
 JASDAQスタンダード ,2221,食品 ,岩塚製菓,http://www.iwatsukaseika.co.jp/,,
 東証一部 ,2222,食品 ,寿スピリッツ,http://www.kotobukispirits.co.jp/,,
 JASDAQスタンダード ,2224,食品 ,コモ,http://www.como.co.jp/,,
 JASDAQスタンダード ,2226,食品 ,フレンテ,http://frente.co.jp/,,
 JASDAQスタンダード ,2228,食品 ,シベール,http://www.cybele.co.jp/,,
 東証一部 ,2229,食品 ,カルビー,http://www.calbee.co.jp/,,
 東証一部 ,2264,食品 ,森永乳業,http://www.morinagamilk.co.jp/,,
 東証一部 ,2266,食品 ,六甲バター,http://www.qbb.co.jp/,,
 東証一部 ,2267,食品 ,ヤクルト本社,http://www.yakult.co.jp/,,
 JASDAQスタンダード ,2268,食品 ,Ｂ－Ｒ　サーティワン　アイスクリーム,http://www.31ice.co.jp/,,
 東証一部 ,2269,食品 ,明治ホールディングス,http://www.meiji.com/,,
" 東証一部,札証 ",2270,食品 ,雪印メグミルク,http://www.meg-snow.com/,,
 東証一部 ,2281,食品 ,プリマハム,http://www.primaham.co.jp/,,
